# Author: Minori Olguin
# Student ID: 3441333
# Title: actions.txt
# Format: action_name|description|valid_targets (comma-separated)
take|Pick up an item or object.|items
pick|Pick flowers.|items
drop|Release an item from your inventory.|items
inspect|Inspect an item or location.|locations, items
talk to|Speak with a character.|characters
eat|Eat an item.|items
enter|Enter a door or opening.|exits
door|Enter a door.|exits
go|Move in a direction.|directions
follow|Follow a character.|characters
read|Read a few lines of a book.|items
inventory|shows the player's inventory items.|items
i|shows the player's inventory items.|items
turn off|Turn on or off a light.|items
turn on|Turn on or off a light.|items
use|Use an item.|items
help|Shows help menu.|none
h|Shows help menu.|none
take off|remove item.|items
wear|put on.|items
